step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,2576,16,0.1379536382444992,0.0,0.0,0.10653739055479401,0.0,0.0,,,,,,
2,5152,32,0.10699907726356536,0.0,0.0,,,,,,,,,
3,7728,48,0.05664466668141745,0.1875,0.1875,,,,,,,,,
4,10304,64,0.0312139798984006,0.875,0.875,,,,,,,,,
5,12880,80,0.028482554405515965,0.9375,0.9375,,,,,,,,,
6,15584,96,0.02889417129250043,0.75,0.75,,,,,,,,,
7,18160,112,0.025286879117556966,0.8125,0.8125,,,,,,,,,
8,20864,128,0.025421713686597895,0.875,0.875,,,,,,,,,
9,23440,144,0.027949291093496875,0.875,0.875,0.026424739371217587,0.875,0.875,,,,,,
10,26016,160,0.030546985217006294,0.8125,0.8125,,,,,,,,,
11,28592,176,0.02510452265442837,0.8125,0.8125,,,,,,,,,
12,31040,192,0.02794847743032733,0.9375,0.9375,,,,,,,,,
13,33616,208,0.028648372971583742,0.6875,0.6875,,,,,,,,,
14,36192,224,0.024001380210276695,0.8125,0.8125,,,,,,,,,
15,38896,240,0.02122672503241033,0.9375,0.9375,,,,,,,,,
16,41344,256,0.02520850315062394,0.9375,0.9375,,,,,,,,,
17,43920,272,0.022716595690075336,0.9375,0.9375,0.0240169321100384,0.9375,0.9375,,,,,,
18,46368,288,0.026450605854868053,0.875,0.875,,,,,,,,,
19,48944,304,0.024746713412281678,0.8125,0.8125,,,,,,,,,
20,51520,320,0.022947326381016868,0.875,0.875,,,,,,,,,
21,54096,336,0.027105754470572722,0.6875,0.6875,,,,,,,,,
22,56672,352,0.021563612583057876,0.9375,0.9375,,,,,,,,,
23,59248,368,0.025465274871019572,0.6875,0.6875,,,,,,,,,
24,61824,384,0.02056543294490621,0.875,0.875,,,,,,,,,
25,64528,400,0.024320292748369048,0.875,0.875,0.022336606160576367,0.9375,0.9375,,,,,,
26,67104,416,0.02225288883932217,0.9375,0.9375,,,,,,,,,
27,69680,432,0.023825666428811475,0.9375,0.9375,,,,,,,,,
28,72256,448,0.02640039027349144,0.75,0.75,,,,,,,,,
29,74832,464,0.023868894903770293,0.8125,0.8125,,,,,,,,,
30,77408,480,0.023560706954166562,0.875,0.875,,,,,,,,,
31,79984,496,0.02381165337912091,0.8125,0.8125,,,,,,,,,
32,82560,512,0.02182217332269761,1.0,1.0,,,,,,,,,
33,85136,528,0.021251218899072683,1.0,1.0,0.020892827965071775,1.0,1.0,,,,,,
34,87840,544,0.019720163848729565,1.0,1.0,,,,,,,,,
35,90416,560,0.021273032898212134,1.0,1.0,,,,,,,,,
36,92992,576,0.024131947574468772,0.9375,0.9375,,,,,,,,,
37,95696,592,0.02178736559667587,1.0,1.0,,,,,,,,,
38,98272,608,0.028038430428427092,0.8125,0.8125,,,,,,,,,
39,100848,624,0.021071939456900283,0.9375,0.9375,,,,,,,,,
40,103424,640,0.02535487834567039,0.9375,0.9375,,,,,,,,,
41,106000,656,0.022119985070508958,0.875,0.875,0.02153948014543749,0.875,0.875,,,,,,
42,108576,672,0.02107391591706596,0.875,0.875,,,,,,,,,
43,111152,688,0.020661282807976477,0.9375,0.9375,,,,,,,,,
44,113856,704,0.022682953002091933,0.75,0.75,,,,,,,,,
45,116432,720,0.01974954899907112,0.875,0.875,,,,,,,,,
46,119008,736,0.022395828231342934,0.9375,0.9375,,,,,,,,,
47,121456,752,0.02386410476841948,0.9375,0.9375,,,,,,,,,
48,124032,768,0.024214878974410797,0.75,0.75,,,,,,,,,
49,126736,784,0.021761480216635102,1.0,1.0,0.02260000221776801,0.9375,0.9375,,,,,,
50,129312,800,0.021692927000576272,0.75,0.75,,,,,,,,,
51,131888,816,0.019655618576365157,1.0,1.0,,,,,,,,,
52,134336,832,0.02501821014108917,0.875,0.875,,,,,,,,,
53,136912,848,0.022130751561832824,0.9375,0.9375,,,,,,,,,
54,139488,864,0.023744760068853624,0.9375,0.9375,,,,,,,,,
55,142064,880,0.02468053553122641,0.75,0.75,,,,,,,,,
56,144640,896,0.023716334402711165,0.8125,0.8125,,,,,,,,,
57,147088,912,0.024974544307592442,0.6875,0.6875,0.02208433734420322,0.875,0.875,,,,,,
58,149792,928,0.01896504582049041,0.875,0.875,,,,,,,,,
59,152368,944,0.01869732986039605,0.9375,0.9375,,,,,,,,,
60,154816,960,0.019868541444081626,0.875,0.875,,,,,,,,,
61,157392,976,0.021496450626636916,0.875,0.875,,,,,,,,,
62,159968,992,0.01951670650627956,1.0,1.0,,,,,,,,,
63,162544,1008,0.01881169201091234,0.9375,0.9375,,,,,,,,,
64,165120,1024,0.023218044637235806,0.9375,0.9375,,,,,,,,,
65,167568,1040,0.020935888039790896,0.875,0.875,0.021930260610577783,0.875,0.875,,,,,,
66,170144,1056,0.021765648534097133,1.0,1.0,,,,,,,,,
67,172720,1072,0.02309245448566379,1.0,1.0,,,,,,,,,
68,175296,1088,0.020473781100987513,1.0,1.0,,,,,,,,,
69,177872,1104,0.019285758749788766,0.9375,0.9375,,,,,,,,,
70,180448,1120,0.019560826213958216,0.9375,0.9375,,,,,,,,,
71,183280,1136,0.020818276877547417,0.875,0.875,,,,,,,,,
72,185984,1152,0.019031859586910754,1.0,1.0,,,,,,,,,
73,188560,1168,0.022357540017126948,0.875,0.875,0.019342857966928795,1.0,1.0,,,,,,
74,191008,1184,0.023618469811972718,0.875,0.875,,,,,,,,,
75,193712,1200,0.018823745653308226,0.875,0.875,,,,,,,,,
76,196288,1216,0.02070171358887509,0.875,0.875,,,,,,,,,
77,198736,1232,0.024880794221069227,0.6875,0.6875,,,,,,,,,
78,201312,1248,0.020351708632549804,0.9375,0.9375,,,,,,,,,
79,203888,1264,0.019469671645598652,0.9375,0.9375,,,,,,,,,
80,206336,1280,0.020787527368805833,0.875,0.875,,,,,,,,,
81,208912,1296,0.01925002801437195,1.0,1.0,0.02133445158104398,1.0,1.0,,,,,,
82,211488,1312,0.019941025857370037,1.0,1.0,,,,,,,,,
83,214064,1328,0.01940410256725255,0.9375,0.9375,,,,,,,,,
84,216512,1344,0.019562602303081912,0.875,0.875,,,,,,,,,
85,219216,1360,0.018789405935974172,1.0,1.0,,,,,,,,,
86,221920,1376,0.021523988430692094,0.875,0.875,,,,,,,,,
87,224496,1392,0.021368415783780282,1.0,1.0,,,,,,,,,
88,226944,1408,0.02039662707954167,0.9375,0.9375,,,,,,,,,
89,229392,1424,0.021727344695388524,1.0,1.0,0.01808680946508232,1.0,1.0,,,,,,
90,231840,1440,0.02106513605976325,0.9375,0.9375,,,,,,,,,
91,234288,1456,0.019566673105939864,0.9375,0.9375,,,,,,,,,
92,236864,1472,0.019316296260898487,1.0,1.0,,,,,,,,,
93,239440,1488,0.01968092319216132,1.0,1.0,,,,,,,,,
94,242016,1504,0.02456878678669866,0.9375,0.9375,,,,,,,,,
95,244592,1520,0.019535821505008058,1.0,1.0,,,,,,,,,
96,247168,1536,0.02046693527105233,0.9375,0.9375,,,,,,,,,
97,249744,1552,0.01929985274088985,0.9375,0.9375,0.02057998921997263,0.9375,0.9375,,,,,,
98,252320,1568,0.022060428260195573,0.875,0.875,,,,,,,,,
99,254768,1584,0.017701764515935508,0.9375,0.9375,,,,,,,,,
100,257472,1600,0.020507850132104037,0.9375,0.9375,,,,,,,,,
101,260048,1616,0.020992396545572986,0.75,0.75,,,,,,,,,
102,262624,1632,0.020721480937129007,0.9375,0.9375,,,,,,,,,
103,265200,1648,0.01843657786259567,0.9375,0.9375,,,,,,,,,
104,267776,1664,0.018873054835647246,0.875,0.875,,,,,,,,,
105,270224,1680,0.02017138296732175,1.0,1.0,0.021844593567507963,0.9375,0.9375,,,,,,
106,272800,1696,0.01790640786635621,1.0,1.0,,,,,,,,,
107,275248,1712,0.02266072772773967,0.875,0.875,,,,,,,,,
108,277824,1728,0.021335984589984994,0.9375,0.9375,,,,,,,,,
109,280528,1744,0.02000571059082141,1.0,1.0,,,,,,,,,
110,283104,1760,0.020272912727622924,0.9375,0.9375,,,,,,,,,
111,285552,1776,0.020938900655800848,0.875,0.875,,,,,,,,,
112,288128,1792,0.018972108430747703,1.0,1.0,,,,,,,,,
113,290704,1808,0.022165651936127805,0.9375,0.9375,0.02095801006849823,0.8125,0.8125,,,,,,
114,293280,1824,0.020949421285726737,0.8125,0.8125,,,,,,,,,
115,295856,1840,0.02003830027550688,0.75,0.75,,,,,,,,,
116,298560,1856,0.016371779512127135,0.8125,0.8125,,,,,,,,,
117,301136,1872,0.0219005017304418,0.8125,0.8125,,,,,,,,,
118,303712,1888,0.01917443548683881,1.0,1.0,,,,,,,,,
119,306288,1904,0.019900376718226375,1.0,1.0,,,,,,,,,
120,308864,1920,0.018036329983071735,0.9375,0.9375,,,,,,,,,
121,311440,1936,0.020030985309888442,0.9375,0.9375,0.020002016662508473,0.9375,0.9375,,,,,,
122,314016,1952,0.01918994544283299,1.0,1.0,,,,,,,,,
123,316720,1968,0.02030017502661709,0.875,0.875,,,,,,,,,
124,319296,1984,0.019402295353836054,1.0,1.0,,,,,,,,,
125,321872,2000,0.01979034160639794,0.9375,0.9375,,,,,,,,,
126,324320,2016,0.017460048525670003,0.9375,0.9375,,,,,,,,,
127,326896,2032,0.018331567482174984,0.9375,0.9375,,,,,,,,,
128,329472,2048,0.019984040288645376,0.9375,0.9375,,,,,,,,,
129,332176,2064,0.02287947101719915,0.75,0.75,0.020374711361380974,0.875,0.875,,,,,,
130,334880,2080,0.01830373833436675,0.9375,0.9375,,,,,,,,,
131,337712,2096,0.02023082180413547,0.9375,0.9375,,,,,,,,,
132,340288,2112,0.018124260164155838,1.0,1.0,,,,,,,,,
133,342864,2128,0.01968263031998709,0.9375,0.9375,,,,,,,,,
134,345440,2144,0.018775790215030334,0.9375,0.9375,,,,,,,,,
135,347888,2160,0.017523383891216507,1.0,1.0,,,,,,,,,
136,350464,2176,0.020596514676333146,0.9375,0.9375,,,,,,,,,
137,352912,2192,0.01623216116023581,1.0,1.0,0.02020292284364586,0.9375,0.9375,,,,,,
138,355488,2208,0.021749384029109847,0.9375,0.9375,,,,,,,,,
139,357936,2224,0.019195327392563313,1.0,1.0,,,,,,,,,
140,360512,2240,0.02585940082104632,0.75,0.75,,,,,,,,,
141,363216,2256,0.018670063307147624,1.0,1.0,,,,,,,,,
142,365792,2272,0.017136569002009973,1.0,1.0,,,,,,,,,
143,368240,2288,0.021915119451170553,0.875,0.875,,,,,,,,,
144,370816,2304,0.017784883250718066,1.0,1.0,,,,,,,,,
145,373392,2320,0.01916604371237185,0.9375,0.9375,0.01840814673774637,1.0,1.0,,,,,,
146,375840,2336,0.021326627004435827,0.75,0.75,,,,,,,,,
147,378416,2352,0.018488035197695644,1.0,1.0,,,,,,,,,
148,381120,2368,0.01996323966109024,0.875,0.875,,,,,,,,,
149,383696,2384,0.01837761770198033,1.0,1.0,,,,,,,,,
150,386272,2400,0.01762099240188868,1.0,1.0,,,,,,,,,
151,388848,2416,0.01855189338806135,0.9375,0.9375,,,,,,,,,
152,391424,2432,0.0210719208261658,0.875,0.875,,,,,,,,,
153,394000,2448,0.017827552964932863,1.0,1.0,0.018553886416149756,1.0,1.0,,,,,,
154,396576,2464,0.020616360138169487,0.9375,0.9375,,,,,,,,,
155,399152,2480,0.019213048105221776,1.0,1.0,,,,,,,,,
156,401728,2496,0.019175817838917048,0.875,0.875,,,,,,,,,
157,404432,2512,0.017317448374547982,1.0,1.0,,,,,,,,,
158,407136,2528,0.01699184678609207,0.9375,0.9375,,,,,,,,,
159,409712,2544,0.01697197266455279,1.0,1.0,,,,,,,,,
160,412288,2560,0.02013319212170727,0.9375,0.9375,,,,,,,,,
161,414864,2576,0.01989695369517711,0.9375,0.9375,0.01807750232276704,1.0,1.0,,,,,,
162,417440,2592,0.02421286926751477,0.9375,0.9375,,,,,,,,,
163,420016,2608,0.020533170780375844,1.0,1.0,,,,,,,,,
164,422720,2624,0.016740325642017766,1.0,1.0,,,,,,,,,
165,425296,2640,0.01942524541618002,0.9375,0.9375,,,,,,,,,
166,427872,2656,0.021377655247065624,0.9375,0.9375,,,,,,,,,
167,430448,2672,0.01625403042259334,1.0,1.0,,,,,,,,,
168,433024,2688,0.020292958186414013,1.0,1.0,,,,,,,,,
169,435600,2704,0.018836687765155877,1.0,1.0,0.01853939386113802,0.9375,0.9375,,,,,,
170,438048,2720,0.017857531666818516,1.0,1.0,,,,,,,,,
171,440624,2736,0.018191244381087858,0.9375,0.9375,,,,,,,,,
172,443328,2752,0.017499331559210945,1.0,1.0,,,,,,,,,
173,445904,2768,0.01878387914598261,1.0,1.0,,,,,,,,,
174,448480,2784,0.019539406588129853,1.0,1.0,,,,,,,,,
175,451056,2800,0.017927548549779772,1.0,1.0,,,,,,,,,
176,453760,2816,0.015717970518932662,1.0,1.0,,,,,,,,,
177,456336,2832,0.020742693379247452,0.9375,0.9375,0.018978380091084653,0.9375,0.9375,,,,,,
178,458912,2848,0.01786362141440085,1.0,1.0,,,,,,,,,
179,461488,2864,0.018557812804219424,0.875,0.875,,,,,,,,,
