step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,2576,16,0.11720207708679413,0.0,0.0,0.10530184445926967,0.0,0.0,,,,,,
2,5152,32,0.10600636638791569,0.0,0.0,,,,,,,,,
3,7728,48,0.08659981630885387,0.0,0.0,,,,,,,,,
4,10432,64,0.05879411190977841,0.0,0.0,,,,,,,,,
5,13008,80,0.03671316900523743,0.6875,0.6875,,,,,,,,,
6,15584,96,0.030369065458968635,0.8125,0.8125,,,,,,,,,
7,18160,112,0.028616577049709352,0.75,0.75,,,,,,,,,
8,20864,128,0.02789991851764387,0.8125,0.8125,,,,,,,,,
9,23440,144,0.02893610679637368,0.6875,0.6875,0.027918445886795786,0.75,0.75,,,,,,
10,26144,160,0.024961856166207025,0.875,0.875,,,,,,,,,
11,28720,176,0.030683952989427325,0.625,0.625,,,,,,,,,
12,31296,192,0.02676666453540611,0.875,0.875,,,,,,,,,
13,33872,208,0.02352931856272244,1.0,1.0,,,,,,,,,
14,36448,224,0.023598627262525724,1.0,1.0,,,,,,,,,
15,39024,240,0.025893174646325862,0.875,0.875,,,,,,,,,
16,41728,256,0.023576039160938138,0.875,0.875,,,,,,,,,
17,44432,272,0.022744514368184053,0.875,0.875,0.024114426917374657,1.0,1.0,,,,,,
18,47008,288,0.024581927671779337,1.0,1.0,,,,,,,,,
19,49712,304,0.02556341041053375,1.0,1.0,,,,,,,,,
20,52416,320,0.020929044996682935,1.0,1.0,,,,,,,,,
21,54992,336,0.022797113218643972,1.0,1.0,,,,,,,,,
22,57568,352,0.020996701351087724,1.0,1.0,,,,,,,,,
23,60144,368,0.021521665154950825,1.0,1.0,,,,,,,,,
24,62720,384,0.022911367931181988,1.0,1.0,,,,,,,,,
25,65296,400,0.021286507810237935,1.0,1.0,0.02055567321904505,1.0,1.0,,,,,,
26,67872,416,0.021187963527214835,1.0,1.0,,,,,,,,,
27,70704,432,0.018934271115121172,1.0,1.0,,,,,,,,,
28,73280,448,0.019523346983180544,1.0,1.0,,,,,,,,,
29,75856,464,0.019977048324756143,1.0,1.0,,,,,,,,,
